file,alpha,beta,run,name,score,duration_ms,memory_kb
tsp/eil76.tsp,0.200000,3.500000,13,haco,570.000000,14501,2662
tsp/eil76.tsp,0.200000,3.500000,14,haco,568.000000,14598,2560
tsp/eil76.tsp,0.200000,3.500000,15,haco,564.000000,14481,477
tsp/eil76.tsp,0.200000,3.500000,16,haco,568.000000,14589,2499
tsp/eil76.tsp,0.200000,3.500000,17,haco,574.000000,14464,1230
tsp/eil76.tsp,0.200000,3.500000,18,haco,559.000000,14362,897
tsp/eil76.tsp,0.200000,3.500000,19,haco,565.000000,14613,1666
tsp/eil76.tsp,0.200000,3.500000,20,haco,576.000000,14786,722
tsp/eil76.tsp,0.200000,3.500000,1,aco,619.000000,23565,2133
tsp/eil76.tsp,0.200000,3.500000,2,aco,639.000000,23301,1293
tsp/eil76.tsp,0.200000,3.500000,3,aco,653.000000,23661,1008
tsp/eil76.tsp,0.200000,3.500000,4,aco,644.000000,22885,1934
tsp/eil76.tsp,0.200000,3.500000,5,aco,635.000000,22649,2131
tsp/eil76.tsp,0.200000,3.500000,6,aco,646.000000,22633,1570
tsp/eil76.tsp,0.200000,3.500000,7,aco,646.000000,22637,559
tsp/eil76.tsp,0.200000,3.500000,8,aco,646.000000,22796,820
tsp/eil76.tsp,0.200000,3.500000,9,aco,639.000000,22839,1886
tsp/eil76.tsp,0.200000,3.500000,10,aco,635.000000,22954,2153
tsp/eil76.tsp,0.200000,3.500000,11,aco,643.000000,22960,1117
tsp/eil76.tsp,0.200000,3.500000,12,aco,632.000000,22921,1994
tsp/eil76.tsp,0.200000,3.500000,13,aco,625.000000,22818,976
tsp/eil76.tsp,0.200000,3.500000,14,aco,640.000000,22822,818
tsp/eil76.tsp,0.200000,3.500000,15,aco,638.000000,22866,1003
tsp/eil76.tsp,0.200000,3.500000,16,aco,628.000000,23060,2199
tsp/eil76.tsp,0.200000,3.500000,17,aco,640.000000,23148,2794
tsp/eil76.tsp,0.200000,3.500000,18,aco,633.000000,23663,581
tsp/eil76.tsp,0.200000,3.500000,19,aco,634.000000,23260,1505
tsp/eil76.tsp,0.200000,3.500000,20,aco,635.000000,23495,1247
tsp/eil76.tsp,0.200000,4.000000,1,haco,567.000000,15126,367
tsp/eil76.tsp,0.200000,4.000000,2,haco,566.000000,15055,2269
tsp/eil76.tsp,0.200000,4.000000,3,haco,565.000000,14880,2603
tsp/eil76.tsp,0.200000,4.000000,4,haco,573.000000,14589,2789
tsp/eil76.tsp,0.200000,4.000000,5,haco,567.000000,14584,370
tsp/eil76.tsp,0.200000,4.000000,6,haco,567.000000,14554,1679
